,movie_name,genre,year,timeMin,imdb,metascore,votes,us_grossMillions
277,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi            ",2014,132,8.0,75.0,642128,233.92
278,Children of Men,"Drama, Thriller            ",2006,109,7.9,84.0,445697,35.55
279,Dr. Strangelove,Comedy            ,1964,95,8.4,97.0,432649,0.28
280,A Few Good Men,"Drama, Thriller            ",1992,138,7.7,62.0,224254,141.34
281,Black Hawk Down,"Drama, History, War            ",2001,144,7.7,74.0,352477,108.64
282,3 Idiots,"Comedy, Drama            ",2009,170,8.4,67.0,321220,6.53
283,Finding Nemo,"Animation, Adventure, Comedy            ",2003,100,8.1,90.0,911110,380.84
284,The Fifth Element,"Action, Adventure, Sci-Fi            ",1997,126,7.7,52.0,418482,63.54
285,The Thing,"Horror, Mystery, Sci-Fi            ",1982,109,8.1,57.0,351113,13.78
286,Trainspotting,Drama            ,1996,93,8.1,83.0,613377,16.5
287,Ghostbusters,"Action, Comedy, Fantasy            ",1984,105,7.8,71.0,340587,238.63
288,Midnight in Paris,"Comedy, Fantasy, Romance            ",2011,94,7.7,81.0,371057,56.82
289,The Exorcist,Horror            ,1973,122,8.0,81.0,348408,232.91
290,Predator,"Action, Adventure, Sci-Fi            ",1987,107,7.8,45.0,358473,59.74
291,Magnolia,Drama            ,1999,188,8.0,77.0,279880,22.46
292,The Deer Hunter,"Drama, War            ",1978,183,8.1,86.0,297681,48.98
293,Home Alone,"Comedy, Family            ",1990,103,7.6,63.0,443825,285.76
294,L.A. Confidential,"Crime, Drama, Mystery            ",1997,138,8.2,90.0,512493,64.62
295,Ponyo,"Animation, Adventure, Comedy            ",2008,101,7.7,86.0,114575,15.09
296,Gone with the Wind,"Drama, History, Romance            ",1939,238,8.1,97.0,276300,198.68
297,X-Men: First Class,"Action, Adventure, Sci-Fi            ",2011,131,7.7,65.0,629230,146.41
298,Hell or High Water,"Action, Crime, Drama            ",2016,102,7.6,88.0,191331,26.86
299,Gravity,"Drama, Sci-Fi, Thriller            ",2013,91,7.7,96.0,742415,274.09
300,Incendies,"Drama, Mystery, War            ",2010,131,8.3,80.0,135599,6.86
301,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy            ",2013,161,7.8,66.0,583391,258.37
302,The Sandlot,"Comedy, Drama, Family            ",1993,101,7.8,55.0,75117,32.42
303,Hunt for the Wilderpeople,"Adventure, Comedy, Drama            ",2016,101,7.9,81.0,98968,5.2
304,Dallas Buyers Club,"Biography, Drama            ",2013,117,8.0,81.0,421216,27.3
305,The Last Samurai,"Action, Drama, War            ",2003,154,7.7,55.0,384534,111.11
