Cust_id,AVG_Actual_price_12,Purchase_Value,No_of_Items,Total_Discount,MONTH_SINCE_LAST_TRANSACTION
864,1841.3125,88357.5,54,130722.5,1
866,2700,2700,1,3300,12
868,1491.513514,68199,55,125860,1
869,1080,5400,5,24600,10
871,6000,6000,1,0,7
872,585,585,1,65,11
873,1800,1800,1,0,12
875,300,5000,18,4000,4
876,405,810,2,990,12
877,4475,17900,4,0,1
878,895,895,1,0,11
879,1785,5355,3,945,2
882,1679.594595,60960,24,94865,1
883,2834.118958,54820,21,25280,1
885,6750,6750,1,750,5
886,1871.428571,15450,13,0,1
887,1874.995,52999.9,30,48000.1,2
888,1850,3700,2,3700,5
889,729,7290,10,33210,5
892,2460,14400,6,0,3
893,4150,33200,8,33200,5
894,10000,10000,1,0,9
895,700,3500,5,14000,2
897,5200,10400,2,0,2
898,2731.666667,8195,3,0,6
899,300,1500,5,0,2
901,1133.333333,10200,9,12600,2
902,1665,3330,2,4070,5
903,8625,17250,2,5750,5
904,1960,9800,5,0,12
905,1950.5,16351,10,23049,1
906,1737,17370,10,21230,2
907,5100,5100,1,0,9
908,1080,2160,2,240,9
909,1577.5,6310,4,6490,6
910,5100,10200,2,1800,6
911,7500,7500,1,0,7
913,1687.5,6750,4,23250,1
914,2999.659091,32996.25,11,10998.75,2
915,1649.032258,51120,31,65980,1
916,397.375,1589.5,4,14305.5,1
919,3850,24100,8,1500,4
920,1665,3330,2,4070,8
922,2100,2100,1,0,4
924,1050,6300,6,6300,9
925,1135.5,35122.5,33,78777.5,2
926,1050,6300,6,6300,4
928,966.6666667,2900,3,4600,5
929,990,22950,18,28050,8
931,1726.976744,76150,47,151450,4
932,1317,11385,6,9015,8
933,3705.147059,170440,53,161040,1
934,337.5,337.5,1,162.5,10
936,300,1500,5,0,5
937,3710,18550,5,0,11
938,2725,5450,2,1950,10
939,1375,2750,2,0,12
940,1766.25,14130,8,17270,7
941,1913.98,52469.5,29,51120.5,1
942,1838.571429,27330,30,20550,1
943,1728.666667,40450,32,61050,3
944,961.3214286,52123,58,48967,2
945,1211.111111,19500,18,32100,3
946,4151.25,64935,20,7215,5
947,4020,28500,9,8300,1
948,3735,3735,1,4565,3
950,1875,7500,4,22500,7
952,1237.5,24750,20,85250,5
953,2070.94,2070.94,1,29.06,3
954,3700,3700,1,0,1
956,2034.185185,109846,54,71214,1
957,3766.76,3766.76,1,133.24,6
959,2250,2250,1,250,3
960,1440.226563,49167.25,34,41487.75,1
961,6000,6000,1,0,5
962,1136.8875,4547.55,4,3852.45,8
963,1040,12500,15,50000,2
964,2668.416667,65066.25,23,20598.75,1
967,4900,9800,2,3700,1
968,3500,7000,2,0,6
969,8300,8300,1,0,3
970,2033.333333,6100,3,0,2
971,2100,4200,2,0,8
972,1950,11700,6,24300,2
974,3700,3700,1,0,4
975,1500,6000,4,18000,4
976,900,900,1,0,8
978,3900,22250,6,0,10
979,2110.833333,14450,8,7050,1
980,1250,7500,6,37500,7
981,2572.5,18120,9,2250,2
982,1350,2700,2,300,4
983,4563.6,4563.6,1,-95.6,11
984,3488,17440,5,860,7
985,1867.5,7470,4,25730,1
986,650,650,1,0,11
988,4590,4590,1,510,3
989,4134.375,36435,10,8915,3
991,5001.165,10002.33,2,1397.67,2
992,1683,54270,38,139530,2
993,1891.162,233556.18,116,734349.82,2
994,3655.555556,36470,11,20225,1
996,3163.142857,50284,16,166,4
997,2746.666667,16480,6,24720,2
998,1347.75,2695.5,2,299.5,1
1000,1575,30780,17,4220,2
1002,2210,8840,4,11960,1
1003,2500,2500,1,0,5
1004,347.045,694.09,2,605.91,12
1005,3750,3750,1,3750,12
1006,4150,4150,1,4150,12
